"","ID...1","M_area","SD_area","M_perim","SD_perim","ID...6","M_area_day","M_area_month","M_area_number","SD_area_day","SD_area_month","SD_area_number","M_perim_day","M_perim_month","M_perim_number","SD_perim_day","SD_perim_month","SD_perim_number"
"29","2010_SoBr",1807.15517241379,2425.07007128486,236.329653302525,146.013148174852,"2010_SoBr",1174,1185,2996.95,586.589890809584,1393.13589738095,3553.19445965225,190.350762351918,196.113183475021,316.774640760956,33.9746895111588,127.047406933972,180.871629850674
"30","2011_CoSc",1700.5,2896.32676851214,392.365510895456,501.406332390265,"2011_CoSc",3234.78571428571,190.541666666667,2438.45,4403.11942709776,255.984022241344,2515.71202764436,844.800815481005,142.147700124292,375.922170610969,811.642404754371,154.315332454965,190.434932263191
"31","2012_FiDo",1651.3275862069,2417.54829901439,295.794115403799,286.517035814928,"2012_FiDo",3387.21428571429,973.375,1249.75,2070.7179888352,2646.20479548406,1733.29828973749,333.72989633138,177.551121185341,411.130661816643,143.602327252608,181.311416527179,396.722288023739
"32","2013_ChKi",839.948275862069,585.408538695179,147.577119112804,47.1986170390182,"2013_ChKi",1106.14285714286,733.458333333333,781.4,623.524982315407,598.280588436563,497.226226872291,167.381851897206,145.565821933187,136.127362779264,48.780903867684,47.5582674251249,42.5536407247765
"33","2014_DeMl",258.815789473684,357.617308820014,108.954396811188,79.8887954156683,"2014_DeMl",117.642857142857,341.166666666667,NA,151.205831803633,415.483126698821,NA,92.0796730388524,118.797985678383,NA,84.568042556565,76.513505055287,NA
"34","2015_RhPo",607.327586206896,1314.32551635852,195.014137303361,339.026510904462,"2015_RhPo",746.071428571429,200.875,997.95,1627.94817397326,389.989072649112,1653.67064200867,256.445487316413,92.5030210122463,275.025531843563,492.519592823813,88.753955536512,376.367613933307
"35","2016_PaPu",4244.84482758621,11147.0693093679,397.49351989261,463.644743390468,"2016_PaPu",8402,1282.20833333333,4890,18303.3882314177,1416.21966302144,10544.2399588754,469.720564474983,251.416674531477,522.226803118309,549.6427801499,156.876326369155,594.199752262678
"36","2017_MaEl",26081.0172413793,30324.2303579022,1054.31825154891,453.711394748444,"2017_MaEl",19903.5714285714,35554.9166666667,19036.55,23946.6263705797,36224.9444535707,23608.3965525382,886.473268930605,1245.95688849581,941.843375045446,572.989625711064,349.406510621987,397.009972909974
"37","2018_KaAr",2224.89655172414,2992.46647815727,302.269484757369,198.133994421702,"2018_KaAr",2569,2521.04166666667,1628.65,2933.49917760343,3878.51477717769,1379.64795078435,246.679139470995,377.486797986238,250.921950583188,122.532377099899,256.982901225204,119.877739485865
"38","2019_RiDa",926.775862068965,1133.81681172495,220.820137633665,99.5326507751604,"2019_RiDa",1153.14285714286,926.416666666667,768.75,818.568692029831,1361.38478605951,1024.90106124681,228.683096093193,215.787144930035,221.355657956352,66.2907386538032,113.805869166556,103.150394551153
"39","201_PaMi",2650.31034482759,6963.07945283692,301.246713423586,233.589726582897,"201_PaMi",2289.42857142857,4521.04166666667,658.05,2608.43344407,10374.7978736765,799.06056209561,341.362061547265,387.723050228438,169.394365571188,211.455117899928,247.198752915061,169.679279018306
"40","2020_FrHa",55877.4137931034,51163.5252533486,1296.17419391622,423.509330059104,"2020_FrHa",49789.6428571429,62757.375,51882.9,47866.0066806661,54393.0035933424,50099.1115783297,1272.81238882541,1379.76644005029,1212.21676211892,409.184231995728,349.726247964971,502.444372008629
"41","2021_GiBo",3597.41379310345,3593.2711098169,334.303985429952,140.213576187569,"2021_GiBo",4252.78571428571,3243.83333333333,3562.95,3404.82667903753,3583.39573389743,3785.44861448825,382.711322360383,304.763440096384,335.867503978933,114.430186317112,149.590031180393,139.576092933367
"42","2022_ChPo",203.362068965517,215.972418157903,152.278801874981,127.046413116978,"2022_ChPo",200.928571428571,155.291666666667,262.75,155.973898915354,274.086336111192,156.072305855883,142.674104673784,92.1961363904008,231.101288497315,94.8169449401003,79.3593814320475,151.951889560511
"43","2023_ChHu",2350.79310344828,4574.20309970969,287.46358431269,175.426427352772,"2023_ChHu",3544.64285714286,677.125,3523.5,5940.22081479901,1538.39485631244,5378.17812537627,304.887213273998,231.039967344701,342.975384401362,176.401724952986,170.298371330544,165.650595451092
"44","202_NiBl",1595.63793103448,1587.13277512314,294.539022893014,206.292416568001,"202_NiBl",643.357142857143,2353.25,1353.1,443.767144538021,1939.67705522631,1167.68198315856,170.17051005782,395.963299994527,259.887849355833,61.2463886734875,235.512200432175,177.372097740196
"45","204_KaHo",8102.43103448276,11612.9871545682,510.698521742311,365.440847351843,"204_KaHo",12150.7142857143,8826.625,4399.6,14704.6273682568,11364.6995996846,8260.25285410762,678.132725450209,489.055805339804,419.465838829791,337.119824600833,290.496068033179,431.644234038688
"46","205_ZiLi",12684.3448275862,16864.438880259,740.456424083989,332.825868851069,"205_ZiLi",14139.4285714286,10647.5833333333,14109.9,11513.3246493853,14452.7054197475,22161.2206647496,840.849826466512,668.705777114458,756.28181877966,309.901789799411,311.877923809952,361.835544759939
"47","209_LuSm",1024.58620689655,1304.89887384821,182.64950879667,112.624285687966,"209_LuSm",589.928571428571,1203.70833333333,1113.9,485.216144767316,872.925093947274,1944.9048261441,140.388343108295,211.838556369745,177.205467690843,56.3980847021818,90.7532835959755,151.986394166577
"48","210_ChWa",31049.0862068966,40318.3503780909,856.414067847594,543.081237730813,"210_ChWa",55891.7857142857,40114.0833333333,2781.2,44994.7411901023,41152.9951056334,2218.1888488056,1171.09244544516,1086.95421765697,359.491023758051,486.934523276159,496.082151690588,144.828300248864
"49","214_ChKw",260.293103448276,371.801276563449,182.113858259947,176.182622548819,"214_ChKw",540.214285714286,116.375,237.05,602.328970983228,71.0445911281881,265.766566940705,231.347069060317,179.643217611715,150.615379477567,234.695607038784,180.049552825208,110.221680372833
"50","214_LuBe",1429.24137931034,2476.23029541726,296.905224613784,199.671719803317,"214_LuBe",3289.28571428571,1142.70833333333,471.05,4075.08072794708,1528.62131802764,594.904242511869,393.994957025511,311.041799448479,211.97852212394,265.800382879868,143.549285675696,173.500494595463
"51","215_JaWi",4946.79310344828,6853.58088908329,476.14288782252,402.259361361514,"215_JaWi",1880,6195.08333333333,5595.6,3408.53456414923,5203.260046081,9456.56415643798,312.06142439314,547.858918524989,504.940675380124,289.808680555334,377.642015624911,472.309731043305
"52","217_PhKe",4937.46551724138,8662.74632784878,402.474347471317,315.78743293334,"217_PhKe",6582.78571428571,7196.95833333333,1074.35,8955.31235576324,10773.0806665603,1850.78407964915,638.849877283756,447.520545498777,182.956038969658,275.544990326679,326.0927233652,148.990829878353
"53","219_AlMu",20789.0862068966,27284.1464167942,912.679809320997,571.749745593865,"219_AlMu",25008.7142857143,11212.6666666667,29327.05,30915.4482389353,11342.4110273912,34511.4494730397,1148.46760774151,711.809615207237,988.672583363151,613.56924495157,536.260574726696,516.133040142135
"54","3_GA",712.655172413793,1418.03197906986,191.87135701436,143.808806373114,"3_GA",251.785714285714,295.916666666667,1535.35,312.221899112977,276.596857228298,2175.77047054997,134.399828941838,145.005561938471,288.340380756192,128.981169736756,81.1259221589698,164.826983576196
"55","410_ChAd",239.448275862069,216.484692977366,139.003652410753,131.121002400265,"410_ChAd",340.714285714286,214.541666666667,198.45,228.17721026806,206.656491204953,203.952003735159,229.922778424658,132.438757712821,83.2381378385384,215.41599697134,79.9398761127029,44.8721861914772
"56","424_ToWi",1553.46551724138,2274.13768195145,231.370902991216,128.016675940779,"424_ToWi",2553,1942.25,387.25,2265.40959872602,2797.42235817189,186.254171441368,319.623736256804,246.982957210708,150.859454641914,88.4755941442462,148.005641765719,64.1487974678055
"57","480_BeHe",823.293103448276,1768.91285847611,164.712494166118,188.338991832447,"480_BeHe",31.7857142857143,1544.29166666667,512.15,33.6502494153355,2509.70191279192,691.078394549991,65.0520277686782,255.597697589562,125.412576536192,38.8206753418697,252.021549343831,91.936872350982
"58","482_MiSa",501.103448275862,539.906554888183,218.471487115738,117.013311164529,"482_MiSa",824.428571428571,427.208333333333,363.45,523.171990977018,459.283967170638,564.813905117246,305.744954526505,170.939457816633,214.418495087126,137.660193711505,98.166241345663,86.9912258167061
"59","4_JB",7823.17857142857,12595.4147748885,550.619288137399,490.117436432177,"4_JB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","532_DePa",294.672413793103,367.10917224503,129.758259000586,78.6109661779361,"532_DePa",359.214285714286,411.75,109,256.037720435318,487.339490059474,110.075835927657,158.271304704705,137.98222101441,99.9303725911126,70.7764767934922,81.1761876536997,72.9744402878366
"61","538_RoBr",2026.18965517241,3964.97430139285,302.81086568676,314.653385103228,"538_RoBr",1909.42857142857,612.625,3804.2,2202.56757720231,807.554725036373,6060.31984560506,245.242101582206,143.807072692954,533.913552152514,86.9743450253353,76.585043481515,438.492527526209
"62","593_FrPo",713.431034482759,470.578035025985,210.059442907045,81.1254457829429,"593_FrPo",722.428571428571,733.416666666667,683.15,482.268656604239,424.61231897882,526.490055412518,181.124310346939,232.093644914269,203.872993290452,54.9483538096582,95.4895519139709,71.9821005593367
"63","6_gks",135.586206896552,146.6283905791,126.217536088336,92.4110793273068,"6_gks",84.0714285714286,150.458333333333,153.8,50.7393549708423,141.369191177872,187.944672709816,85.321171231175,138.930597367424,139.589317953445,57.4610890408738,65.6152150297854,127.495118200463
"64","755_FrIn",1150.60526315789,1287.64569819456,206.267747302679,101.94635880193,"755_FrIn",1802.5,770.333333333333,NA,1488.95349994552,991.102791266952,NA,258.361618731728,175.879655635734,NA,82.4064964243002,100.848096608196,NA
"65","792_AnMa",658.137931034483,841.293127335916,191.294327405919,141.413162700956,"792_AnMa",721.357142857143,598.916666666667,684.95,527.808751889762,975.386117684391,866.362713222395,230.947938135459,185.047966137155,171.032433417757,146.853073591912,168.841142934731,91.7241111606323
"66","806_AmSq",322.342105263158,286.531554574566,152.206906390554,77.7482942694796,"806_AmSq",309.714285714286,329.708333333333,NA,340.249671984727,255.058519195666,NA,127.518298311621,166.608594436598,NA,68.5093171697916,80.0662816252066,NA
"67","867_SaSe",525.155172413793,1037.30859907325,158.920563254992,210.812065466001,"867_SaSe",1021.07142857143,569.875,124.35,1854.64805479176,619.056313789672,97.0942618781108,312.31193375885,143.28761569657,70.3061409723987,374.448135836847,83.5389928571233,34.7518433859035
"68","887_MaEi",285.844827586207,455.037407805122,166.240919464499,188.611905653361,"887_MaEi",399.428571428571,266.958333333333,229,576.010053855709,519.670065316172,214.847500045642,271.513946271852,121.068512814057,146.756688679882,356.93841595945,66.887076411616,35.7852564989806
"69","896_MaSc",847.396551724138,973.712812043062,196.412898475077,163.905258663328,"896_MaSc",613.214285714286,910.166666666667,936,388.588103633802,949.222433664222,1251.9388480714,147.204814792882,195.729418465594,231.678733063993,59.9201848396896,121.409402189158,237.406235501471
"70","933_ClDa",661.862068965517,1079.97694497801,166.35718377172,94.6562939120883,"933_ClDa",316.428571428571,1366.125,58.55,227.639423525138,1393.29299746525,39.1967517127068,173.19693570778,224.509715478339,91.7863193685365,114.047979264654,67.5254625880755,45.9637924504557
